Name,10th_marks,12th_marks,Stream,Skills,Interests,Personality,Recommended_Career
Neha_0,84,90,Science,"Deep Learning, Networking, Python",Tech,INTJ,Data Analyst
Arun_1,90,76,Science,"Creativity, Writing, Graphic Design",Art,ESTJ,Film Director
Karan_2,78,62,Science,"Excel, Sales, Accounting",Business,ENTJ,Business Analyst
John_3,66,84,Arts,"Python, AI, Networking",Tech,INTJ,Data Scientist
Rahul_4,92,64,Science,"Accounting, Management, Sales",Business,INFP,Marketing Manager
John_5,86,76,Commerce,"Film Making, Adobe Suite, Writing",Art,INTP,Content Writer
Arun_6,89,94,Arts,"Deep Learning, Networking, ML",Tech,INFP,Data Analyst
Ravi_7,99,79,Arts,"Management, Accounting, Excel",Business,INTP,Marketing Manager
Arun_8,92,64,Science,"Graphic Design, Adobe Suite, Writing",Art,INFJ,Graphic Designer
Sneha_9,95,66,Science,"Deep Learning, Networking, Data Analysis",Tech,INFJ,Data Analyst
Neha_10,76,60,Commerce,"Financial Analysis, Analytics, Management",Business,INTJ,Accountant
Ravi_11,89,97,Science,"Film Making, Storytelling, Graphic Design",Art,ISTJ,Graphic Designer
Rahul_12,64,91,Commerce,"AI, Networking, ML",Tech,ENFP,AI Engineer
Sneha_13,74,81,Science,"AI, Statistics, Python",Tech,ENFP,Data Scientist
Priya_14,88,69,Commerce,"Python, Deep Learning, ML",Tech,ESTJ,Cybersecurity Analyst
Ravi_15,65,91,Commerce,"Python, Data Analysis, AI",Tech,INTJ,Data Analyst
Maya_16,66,72,Commerce,"Financial Analysis, Management, Accounting",Business,INFJ,Marketing Manager
Neha_17,84,63,Arts,"Financial Analysis, Analytics, Excel",Business,INTJ,Business Analyst
Neha_18,67,81,Science,"ML, Statistics, Python",Tech,INTJ,Cybersecurity Analyst
John_19,62,65,Commerce,"Writing, Adobe Suite, Film Making",Art,ISFP,Film Director
John_20,88,69,Science,"Data Analysis, AI, ML",Tech,INTP,Data Analyst
Ravi_21,86,61,Science,"Creativity, Film Making, Writing",Art,INTJ,Content Writer
Priya_22,72,96,Arts,"Python, AI, Deep Learning",Tech,INTJ,Data Scientist
John_23,79,83,Arts,"ML, AI, Statistics",Tech,INTJ,Data Scientist
Arun_24,85,77,Commerce,"ML, Python, Networking",Tech,INFP,AI Engineer
John_25,65,82,Commerce,"Financial Analysis, Marketing, Excel",Business,ENFP,Business Analyst
Neha_26,63,88,Commerce,"Marketing, Excel, Management",Business,ENTJ,Business Analyst
Rahul_27,70,85,Commerce,"Sales, Management, Accounting",Business,ENTJ,Accountant
Karan_28,88,84,Science,"Python, ML, Data Analysis",Tech,INTP,Data Scientist
Sneha_29,91,97,Science,"Deep Learning, ML, Cybersecurity",Tech,ENTJ,Data Analyst
John_30,87,99,Science,"Writing, Graphic Design, Communication",Art,ENFP,Content Writer
Karan_31,96,62,Science,"Statistics, ML, Networking",Tech,ESTJ,Data Scientist
Ravi_32,83,90,Commerce,"Python, AI, ML",Tech,INTJ,Data Analyst
Rahul_33,65,81,Science,"Sales, Management, Analytics",Business,ISTJ,Marketing Manager
Rahul_34,70,95,Science,"Cybersecurity, AI, Networking",Tech,ENTJ,Data Scientist
Neha_35,95,99,Science,"Communication, Graphic Design, Film Making",Art,INFP,Film Director
Aditi_36,89,62,Science,"Creativity, Graphic Design, Storytelling",Art,INFP,Content Writer
Aditi_37,66,91,Arts,"Creativity, Communication, Writing",Art,ENFP,Graphic Designer
Sneha_38,84,78,Arts,"Storytelling, Writing, Film Making",Art,ISTJ,Content Writer
Arun_39,72,65,Science,"Financial Analysis, Sales, Analytics",Business,INFJ,Business Analyst
